feature,class,mean_gradient,std_gradient,median_gradient,p25_gradient,p75_gradient
pfcand_pt_log,recojet_isB,0.0020630546,0.00246312,0.00090079044,0.0003692906320793554,0.00287035689689219
pfcand_e_log,recojet_isB,0.004731576,0.0039435285,0.002913976,0.001929183810716495,0.006297420593909919
pfcand_ptrel_log,recojet_isB,0.00075743056,0.0010868646,0.00032210047,0.00010764696889964398,0.0009294083283748478
pfcand_erel_log,recojet_isB,0.0029952836,0.00270909,0.0017685309,0.0011104326404165477,0.004146222840063274
pfcand_drrel,recojet_isB,0.000681142,0.0010075413,0.00025513774,9.978932394005824e-05,0.0008456634823232889
pfcand_charge,recojet_isB,0.00012451046,0.000155597,5.864478e-05,1.4928836890248931e-05,0.0001730914846120868
pfcand_dxy,recojet_isB,0.0013979053,0.0022431647,0.00047131747,0.00016880979455891065,0.001652027538511902
pfcand_dz,recojet_isB,0.0014126265,0.0025850069,0.0003989003,0.00017065406063920818,0.001398746739141643
pfcand_btagSip2dVal,recojet_isB,0.0005527926,0.00075838255,0.00021999383,0.00010315311556041706,0.0007251150964293629
pfcand_btagSip2dSig,recojet_isB,0.0011962983,0.0014387149,0.00067301164,0.0003983283386332914,0.0014104213332757354
pfcand_btagSip3dVal,recojet_isB,0.00044874116,0.0006617585,0.00016711617,7.278876000782475e-05,0.0005662505136569962
pfcand_btagSip3dSig,recojet_isB,0.0010618208,0.0015735717,0.00039801665,0.00017306386143900454,0.0013255600933916867
pfcand_btagJetDistVal,recojet_isB,0.0007032483,0.0011249835,0.00026138435,9.791199954634067e-05,0.0008349557756446302
pfcand_btagJetDistSig,recojet_isB,0.00012340423,0.00016624093,5.6092766e-05,2.5729473236424383e-05,0.00015413844448630698
pfcand_isChargedHad,recojet_isB,0.0062522506,0.00862482,0.0027610674,0.001074246218195185,0.007250422844663262
pfcand_isNeutralHad,recojet_isB,0.0037676059,0.0051984605,0.0015481465,0.0006754116184310988,0.0046671656891703606
pfcand_isGamma,recojet_isB,0.0030160067,0.0040684035,0.001239095,0.0006577226595254615,0.0036578685976564884
pfcand_isEl,recojet_isB,0.0055933297,0.008252237,0.002121644,0.0007908194384071976,0.006890726275742054
pfcand_isMu,recojet_isB,0.005477193,0.008391969,0.002108735,0.0007501812797272578,0.00684446538798511
pfcand_thetarel,recojet_isB,0.004056859,0.0056870915,0.0019326229,0.0006581364141311496,0.0050360121531412005
pfcand_phirel,recojet_isB,0.0005727404,0.00095551426,0.00020033901,7.635672227479517e-05,0.0005997948755975813
pfcand_pt_log,recojet_isC,0.0019189926,0.0016732366,0.0013990817,0.0007947814592625946,0.0024168442469090223
pfcand_e_log,recojet_isC,0.0044301283,0.0034334636,0.0032847077,0.0023627288755960763,0.005256122909486294
pfcand_ptrel_log,recojet_isC,0.0008738501,0.0009888451,0.00053221406,0.00032542445842409506,0.0010449369729030877
pfcand_erel_log,recojet_isC,0.0030465205,0.00239823,0.00232301,0.0015523675829172134,0.0033970801159739494
pfcand_drrel,recojet_isC,0.0006940955,0.0008693116,0.00041890045,0.00018386932424618863,0.0007985932170413435
pfcand_charge,recojet_isC,0.0001189966,0.000108705965,8.409543e-05,4.89453113914351e-05,0.00014826573533355258
pfcand_dxy,recojet_isC,0.0015259554,0.0019592515,0.00077522366,0.00035606206074589863,0.0017453449836466461
pfcand_dz,recojet_isC,0.0015272113,0.002422769,0.0007148762,0.0002948324545286596,0.001665489631704986
pfcand_btagSip2dVal,recojet_isC,0.0005496091,0.00067725574,0.0003204657,0.00016474120639031753,0.0006220314826350659
pfcand_btagSip2dSig,recojet_isC,0.0011075721,0.0014035461,0.00063489523,0.00035925240808865055,0.0012442685256246477
pfcand_btagSip3dVal,recojet_isC,0.00041970104,0.0005180029,0.00024273536,0.0001210786540468689,0.0004945755645167083
pfcand_btagSip3dSig,recojet_isC,0.0009758872,0.0011928616,0.00056507497,0.0002477864400134422,0.0012314673222135752
pfcand_btagJetDistVal,recojet_isC,0.0007470523,0.0009928764,0.0004106867,0.00020870534353889525,0.0008453960035694763
pfcand_btagJetDistSig,recojet_isC,0.00011448846,0.00014357462,6.4925174e-05,3.6326553527032956e-05,0.00013734763342654333
pfcand_isChargedHad,recojet_isC,0.0054824534,0.0066719917,0.0030785291,0.0015285148983821273,0.006575557519681752
pfcand_isNeutralHad,recojet_isC,0.00431385,0.0041166283,0.0028212727,0.0019315901736263186,0.00515209324657917
pfcand_isGamma,recojet_isC,0.003486647,0.0036995125,0.0021732962,0.0014067716547288,0.003786063170991838
pfcand_isEl,recojet_isC,0.0054005757,0.0064871553,0.003037347,0.0016546508995816112,0.006475469330325723
pfcand_isMu,recojet_isC,0.005459036,0.006460391,0.0030455007,0.0017292648553848267,0.006651449133642018
pfcand_thetarel,recojet_isC,0.005206277,0.0052261995,0.0033498388,0.002274954109452665,0.006161123630590737
pfcand_phirel,recojet_isC,0.0006456011,0.0009015909,0.00034104227,0.00018511297093937173,0.0007801109459251165
pfcand_pt_log,recojet_isUDSG,0.002555283,0.0021736568,0.0018924584,0.0010005676303990185,0.003632620850112289
pfcand_e_log,recojet_isUDSG,0.007116088,0.00408023,0.0057954267,0.004204193712212145,0.009044238133355975
pfcand_ptrel_log,recojet_isUDSG,0.0010879586,0.001179822,0.00069822854,0.00035342264163773507,0.001316833746386692
pfcand_erel_log,recojet_isUDSG,0.00471055,0.0030270398,0.003719599,0.002612485841382295,0.006094317999668419
